127.0.0.1 - - [19/Jul/2024:17:48:49 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [19/Jul/2024:17:48:50 +0900] "GET /webpro/0719/test1.html HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [19/Jul/2024:17:49:05 +0900] "GET /webpro/0719/test1.html HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [19/Jul/2024:17:49:05 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [19/Jul/2024:18:00:43 +0900] "GET /webpro/0719/test1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:18:04:03 +0900] "GET /webpro/0719/index.html HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [19/Jul/2024:18:04:03 +0900] "GET /webpro/0719/script.js HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [19/Jul/2024:18:04:03 +0900] "GET /webpro/0719/style.css HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [19/Jul/2024:18:04:06 +0900] "GET /webpro/0719/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:18:04:06 +0900] "GET /webpro/0719/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:18:04:09 +0900] "GET /webpro/0719/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:18:04:12 +0900] "GET /webpro/0719/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:18:04:12 +0900] "GET /webpro/0719/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:18:04:12 +0900] "GET /webpro/0719/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:18:04:31 +0900] "GET /webpro/0719/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:18:04:31 +0900] "GET /webpro/0719/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2024:18:04:31 +0900] "GET /webpro/0719/style.css HTTP/1.1" 304 -
