127.0.0.1 - - [29/Jul/2024:13:54:34 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/Jul/2024:13:54:35 +0900] "GET /webpro/hamin/naver/index.html HTTP/1.1" 200 10436
0:0:0:0:0:0:0:1 - - [29/Jul/2024:13:54:35 +0900] "GET /webpro/hamin/naver/images/naver.gif HTTP/1.1" 200 329090
0:0:0:0:0:0:0:1 - - [29/Jul/2024:13:54:35 +0900] "GET /webpro/hamin/naver/images/paris_now.png HTTP/1.1" 200 6230
0:0:0:0:0:0:0:1 - - [29/Jul/2024:13:54:35 +0900] "GET /webpro/hamin/naver/weather.png HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [29/Jul/2024:13:54:35 +0900] "GET /webpro/hamin/naver/images/book.png HTTP/1.1" 200 52069
0:0:0:0:0:0:0:1 - - [29/Jul/2024:13:54:35 +0900] "GET /webpro/hamin/naver/images/whale.png HTTP/1.1" 200 2326
0:0:0:0:0:0:0:1 - - [29/Jul/2024:13:54:35 +0900] "GET /webpro/hamin/naver/images/naver.png HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [29/Jul/2024:13:54:35 +0900] "GET /webpro/hamin/naver/images/likes_sparkling_water.jpg HTTP/1.1" 200 35641
0:0:0:0:0:0:0:1 - - [29/Jul/2024:13:54:35 +0900] "GET /webpro/hamin/naver/images/likes_brain_and_blood.jpg HTTP/1.1" 200 21855
0:0:0:0:0:0:0:1 - - [29/Jul/2024:13:54:35 +0900] "GET /webpro/hamin/naver/images/likes_blood_spike.jpg HTTP/1.1" 200 24568
0:0:0:0:0:0:0:1 - - [29/Jul/2024:13:54:35 +0900] "GET /webpro/hamin/naver/images/likes_drinking.jpg HTTP/1.1" 200 13969
0:0:0:0:0:0:0:1 - - [29/Jul/2024:13:54:35 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Jul/2024:13:55:04 +0900] "GET /webpro/hamin/naver/index.html HTTP/1.1" 200 10482
0:0:0:0:0:0:0:1 - - [29/Jul/2024:13:55:04 +0900] "GET /webpro/hamin/naver/images/naver.gif HTTP/1.1" 200 329090
0:0:0:0:0:0:0:1 - - [29/Jul/2024:13:55:04 +0900] "GET /webpro/hamin/naver/images/paris_now.png HTTP/1.1" 200 6230
0:0:0:0:0:0:0:1 - - [29/Jul/2024:13:55:04 +0900] "GET /webpro/hamin/naver/images/likes_drinking.jpg HTTP/1.1" 200 13969
0:0:0:0:0:0:0:1 - - [29/Jul/2024:13:55:04 +0900] "GET /webpro/hamin/naver/images/likes_sparkling_water.jpg HTTP/1.1" 200 35641
